episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
162,cotton,-128.8136,-79.0278,-3.755063,103.145874,0.546933,2640.0,210.0,48.27
163,maize,-48.5216,-78.1944,0.001683,29.089613,0.006179,1875.0,210.0,48.82
164,cotton,-130.0363,-78.2008,-2.672819,91.509544,0.441303,2665.0,210.0,48.82
165,maize,-49.6381,-78.1681,-0.040819,4.496566,0.009492,1845.0,210.0,48.84
166,maize,-47.2995,-78.1585,-0.000488,2.555993,0.009748,1845.0,210.0,48.84
167,maize,-47.4639,-78.175,-0.001134,9.205705,0.010774,1845.0,210.0,48.83
168,maize,-49.1531,-78.2069,0.065944,8.593015,0.012562,1865.0,210.0,48.81
169,cotton,-134.9061,-78.3528,0.581592,56.390129,0.270841,2760.0,210.0,48.72
170,maize,-44.303,-77.5136,0.000207,15.645144,0.030661,1835.0,210.0,49.27
171,maize,-53.4102,-76.8582,-0.037581,25.816338,0.050939,1900.0,210.0,49.69
172,cotton,-134.2405,-77.714,0.208039,37.403275,0.192923,2745.0,210.0,49.13
173,cotton,-134.3537,-77.7941,-0.45731,40.817554,0.176124,2750.0,210.0,49.08
174,maize,-86.9789,-77.4267,-3.968559,326.058044,0.243118,2555.0,210.0,49.32
175,cotton,-134.2151,-77.5084,0.227663,36.064819,0.168786,2740.0,210.0,49.27
176,cotton,-134.4574,-77.6494,-0.02979,36.14397,0.159241,2745.0,210.0,49.18
177,maize,-82.3873,-77.9764,-3.988571,247.001846,0.259475,2495.0,210.0,48.96
178,maize,-90.3688,-78.3618,-3.422878,286.178162,0.208931,2570.0,210.0,48.71
179,cotton,-134.4654,-79.2324,-0.447677,40.807186,0.143199,2750.0,210.0,48.14
180,maize,-92.9873,-79.0389,-0.580882,207.243942,0.069547,2680.0,210.0,48.27
181,maize,-89.8827,-78.7439,-0.32405,104.016861,0.060069,2630.0,210.0,48.46
182,cotton,-135.9175,-79.5979,1.117829,134.917221,0.125515,2770.0,210.0,47.9
