episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
500,maize,131,0.7104,13890.27,0,0.0
500,maize,132,0.7104,13890.27,0,0.0
500,maize,133,0.0,0.0,0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,1,0.0,0.0,5,0.0
1000,maize,2,0.0,0.0,5,0.0
1000,maize,3,0.0,0.0,5,0.0
1000,maize,4,0.0,0.0,5,0.0
1000,maize,5,0.0,0.0,5,0.0
1000,maize,6,0.0,0.0,5,0.0
1000,maize,7,0.0,0.0,5,0.0
1000,maize,8,0.0,0.0,5,0.0
1000,maize,9,0.0,0.0,5,0.0
1000,maize,10,0.0,0.0,5,0.0
1000,maize,11,0.0031,28.8,5,0.0
1000,maize,12,0.0054,28.8,5,0.0
1000,maize,13,0.0074,28.8,5,0.0
1000,maize,14,0.0103,28.8,5,0.0
1000,maize,15,0.0132,28.8,5,0.0
1000,maize,16,0.0151,28.8,5,0.0
1000,maize,17,0.0074,28.8,5,5
1000,maize,18,0.005,28.8,5,10
1000,maize,19,0.0068,28.8,5,40
1000,maize,20,0.0089,28.8,5,5
1000,maize,21,0.0227,28.8,8,40
1000,maize,22,0.0384,29.09,8,10
1000,maize,23,0.062,38.09,8,5
1000,maize,24,0.088,48.84,8,0.0
1000,maize,25,0.106,56.73,8,0.0
1000,maize,26,0.1189,62.56,8,0.0
1000,maize,27,0.1346,70.8,8,0.0
1000,maize,28,0.1703,88.12,8,0.0
1000,maize,29,0.2084,107.62,8,0.0
1000,maize,30,0.2499,130.58,8,0.0
1000,maize,31,0.2804,149.41,8,0.0
1000,maize,32,0.3029,165.47,8,0.0
1000,maize,33,0.32,179.43,8,0.0
1000,maize,34,0.3392,195.87,8,0.0
1000,maize,35,0.361,214.97,8,0.0
1000,maize,36,0.3688,209.43,8,0.0
1000,maize,37,0.3756,220.15,8,5
1000,maize,38,0.3896,234.79,8,5
1000,maize,39,0.4023,249.4,8,5
1000,maize,40,0.4104,261.81,8,5
1000,maize,41,0.4776,305.53,8,0
1000,maize,42,0.5668,362.14,8,5
1000,maize,43,0.6462,414.55,8,5
1000,maize,44,0.7175,463.29,8,0.0
1000,maize,45,0.8153,532.86,8,0.0
1000,maize,46,0.922,612.45,8,0.0
1000,maize,47,1.0187,687.73,8,0.0
1000,maize,48,1.1068,759.0,8,0.0
1000,maize,49,1.2072,843.48,8,0.0
1000,maize,50,1.3054,929.34,8,0.0
1000,maize,51,1.4481,1060.9,8,0.0
1000,maize,52,1.5967,1206.13,8,5
1000,maize,53,1.7613,1377.92,8,5
1000,maize,54,1.9181,1553.76,8,5
1000,maize,55,2.0378,1706.44,8,5
1000,maize,56,2.1494,1875.01,10,20
1000,maize,57,2.228,2022.33,10,5
1000,maize,58,2.2906,2169.12,10,5
1000,maize,59,2.3231,2288.75,10,0.0
1000,maize,60,2.3601,2432.54,10,0.0
1000,maize,61,2.3717,2547.78,10,0.0
1000,maize,62,2.3729,2657.94,10,0.0
1000,maize,63,2.3715,2773.56,10,0.0
1000,maize,64,2.5084,3026.04,10,0.0
1000,maize,65,2.5198,3176.48,10,0.0
1000,maize,66,2.5044,3313.75,10,0.0
1000,maize,67,2.4823,3459.66,10,0.0
1000,maize,68,2.4498,3595.18,10,0.0
1000,maize,69,2.4077,3713.92,10,0.0
1000,maize,70,2.3579,3814.14,10,0.0
1000,maize,71,2.3061,3909.13,10,0.0
1000,maize,72,2.2566,4011.36,10,0.0
1000,maize,73,2.1983,4078.74,10,0.0
1000,maize,74,2.1425,4151.24,10,0.0
1000,maize,75,2.0979,4260.75,10,0.0
1000,maize,76,2.056,4374.49,10,0.0
1000,maize,77,2.0191,4504.29,10,0.0
1000,maize,78,1.9814,4626.83,10,0.0
1000,maize,79,1.9443,4747.72,10,0.0
1000,maize,80,1.9099,4873.81,10,0.0
1000,maize,81,1.8784,5104.19,10,0.0
1000,maize,82,1.8618,5346.48,10,0.0
1000,maize,83,1.8499,5587.99,10,0.0
1000,maize,84,1.8399,5782.08,10,0.0
1000,maize,85,1.8309,5987.41,10,0.0
1000,maize,86,1.8228,6186.85,10,0.0
1000,maize,87,1.8156,6416.41,10,0.0
1000,maize,88,1.81,6651.19,10,0.0
1000,maize,89,1.8058,6877.95,10,0.0
1000,maize,90,1.8031,7102.98,10,0.0
1000,maize,91,1.8028,7329.65,0,0.0
1000,maize,92,1.8028,7559.9,0,0.0
1000,maize,93,1.8014,7762.63,0,0.0
1000,maize,94,1.7979,7940.06,0,0.0
1000,maize,95,1.7929,8065.81,0,0.0
1000,maize,96,1.7872,8238.03,0,0.0
1000,maize,97,1.7797,8410.77,0,0.0
1000,maize,98,1.7701,8622.45,0,0.0
1000,maize,99,1.7571,8852.69,0,0.0
1000,maize,100,1.7409,9022.14,0,0.0
1000,maize,101,1.6946,9140.77,0,0.0
1000,maize,102,1.6401,9217.51,0,0.0
1000,maize,103,1.5823,9301.41,0,0.0
1000,maize,104,1.5304,9376.02,0,0.0
1000,maize,105,1.5129,9495.54,0,0.0
1000,maize,106,1.4955,9666.31,0,0.0
1000,maize,107,1.4757,9803.31,0,0.0
1000,maize,108,1.4548,9994.31,0,0.0
1000,maize,109,1.4321,10139.41,0,0.0
1000,maize,110,1.4084,10274.68,0,0.0
1000,maize,111,1.3839,10465.87,0,0.0
1000,maize,112,1.3572,10654.35,0,0.0
1000,maize,113,1.3284,10856.99,0,0.0
1000,maize,114,1.2974,11008.02,0,0.0
1000,maize,115,1.2647,11168.87,0,0.0
1000,maize,116,1.23,11313.4,0,0.0
1000,maize,117,1.1941,11452.35,0,0.0
1000,maize,118,1.1573,11602.16,0,0.0
1000,maize,119,1.1201,11752.16,0,0.0
1000,maize,120,1.0823,11884.29,0,0.0
1000,maize,121,1.0439,12001.82,0,0.0
1000,maize,122,1.005,12106.06,0,0.0
1000,maize,123,0.9668,12208.85,0,0.0
1000,maize,124,0.9295,12301.43,0,0.0
1000,maize,125,0.8923,12379.01,0,0.0
1000,maize,126,0.8554,12439.27,0,0.0
1000,maize,127,0.8554,12439.27,0,0.0
1000,maize,128,0.8554,12439.27,0,0.0
1000,maize,129,0.0,0.0,0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
