episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy_water,entropy_nitrogen,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
171,maize,15.8498,14.9265,-0.033342,0.83572,0.2589,1.0954,747.0,285.0,100.05,6930.9,999.51,972.7
172,maize,10.0115,14.857,-0.524527,8.30508,0.2555,1.1983,760.0,375.0,100.05,5551.8,556.94,967.71
173,maize,12.9683,14.8579,-0.132372,2.786307,0.2486,1.1535,751.0,400.0,100.05,5996.5,648.52,964.49
174,maize,17.454,14.8343,0.113126,1.630278,0.2331,1.1577,740.0,315.0,100.05,6993.4,989.36,962.14
175,maize,18.8754,14.8943,0.27036,5.597847,0.2336,0.9916,737.0,185.0,100.05,7257.0,1187.05,965.49
176,maize,11.9761,14.8414,-0.135512,1.271528,0.2014,1.2832,739.0,315.0,100.05,6289.8,814.06,961.96
177,maize,16.243,14.8357,0.204809,2.238405,0.2225,0.9945,755.0,375.0,100.05,7182.8,967.71,962.57
178,maize,17.0499,14.8312,0.187984,5.633291,0.2023,1.2464,749.0,565.0,100.05,7332.1,818.63,961.56
179,maize,19.2408,14.8422,0.359449,6.485519,0.188,0.9046,741.0,285.0,100.05,7711.3,1198.23,960.91
180,maize,19.3552,14.903,0.298227,6.544793,0.1927,1.0357,738.0,235.0,100.05,7366.2,1163.74,963.97
181,maize,16.6532,14.9142,0.121728,0.952394,0.2204,0.9954,748.0,455.0,100.05,7129.6,878.6,962.45
182,maize,14.9187,14.9228,0.112295,1.202576,0.1883,1.1289,747.0,335.0,100.05,7116.8,995.99,964.03
183,maize,15.0248,14.8975,-0.048576,0.661023,0.2012,1.11,735.0,385.0,100.05,6920.6,904.15,960.79
184,maize,20.2922,14.904,0.213977,4.866309,0.1687,0.8512,737.0,220.0,100.05,7119.6,1117.69,959.41
185,maize,15.4915,14.9692,0.029434,1.606225,0.1855,1.0252,743.0,415.0,100.05,7160.2,929.24,960.7
