episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,10.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,10.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,10.0,0.0
1000,maize,0,0.0,0.0,20.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,10.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,0.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,30.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,40.0,0.0
1000,maize,0,0.0,0.0,20.0,0.0
1000,maize,1,0.0,0.0,20.0,0.0
1000,maize,2,0.0,0.0,40.0,0.0
1000,maize,3,0.0,0.0,0.0,0.0
1000,maize,4,0.0,0.0,0.0,0.0
1000,maize,5,0.0,0.0,0.0,0.0
1000,maize,6,0.0,0.0,30.0,0.0
1000,maize,7,0.0,0.0,0.0,0.0
1000,maize,8,0.0,0.0,0.0,0.0
1000,maize,9,0.0034,28.8,20.0,0.0
1000,maize,10,0.0063,28.8,20.0,0.0
1000,maize,11,0.0095,28.8,40.0,0.0
1000,maize,12,0.013,28.8,40.0,0.0
1000,maize,13,0.0141,28.8,0.0,0.0
1000,maize,14,0.0085,28.8,30.0,0.0
1000,maize,15,0.0065,28.8,0.0,0.0
1000,maize,16,0.0089,28.8,10.0,0.0
1000,maize,17,0.0111,28.8,10.0,0.0
1000,maize,18,0.0178,28.8,10.0,0.0
1000,maize,19,0.0231,28.8,20.0,0.0
1000,maize,20,0.0334,28.8,10.0,0.0
1000,maize,21,0.0448,30.21,10.0,0.0
1000,maize,22,0.0446,32.09,10.0,0.0
1000,maize,23,0.0493,35.24,20.0,0.0
1000,maize,24,0.0558,39.27,10.0,0.0
1000,maize,25,0.0707,45.7,0.0,0.0
1000,maize,26,0.0842,51.97,30.0,0.0
1000,maize,27,0.0966,58.46,30.0,0.0
1000,maize,28,0.1101,66.05,10.0,0.0
1000,maize,29,0.1192,72.12,0.0,0.0
1000,maize,30,0.1299,79.41,40.0,0.0
1000,maize,31,0.1491,91.61,30.0,0.0
1000,maize,32,0.1594,100.13,10.0,0.0
1000,maize,33,0.1661,107.41,40.0,0.0
1000,maize,34,0.1787,118.42,10.0,0.0
1000,maize,35,0.2031,127.25,0.0,0.0
1000,maize,36,0.2051,133.51,0.0,0.0
1000,maize,37,0.2093,141.2,0.0,0.0
1000,maize,38,0.2135,149.08,40.0,0.0
1000,maize,39,0.2163,156.49,20.0,0.0
1000,maize,40,0.2056,156.45,20.0,0.0
1000,maize,41,0.1954,156.4,0.0,0.0
1000,maize,42,0.2597,191.36,30.0,0.0
1000,maize,43,0.3362,234.83,20.0,0.0
1000,maize,44,0.4401,296.67,0.0,0.0
1000,maize,45,0.5099,343.53,30.0,0.0
1000,maize,46,0.5867,393.19,10.0,0.0
1000,maize,47,0.6635,444.53,10.0,0.0
1000,maize,48,0.7599,511.46,30.0,0.0
1000,maize,49,0.8388,568.13,20.0,0.0
1000,maize,50,0.9125,622.81,30.0,0.0
1000,maize,51,1.0454,725.6,30.0,0.0
1000,maize,52,1.128,791.9,0.0,0.0
1000,maize,53,1.2467,891.02,10.0,0.0
1000,maize,54,1.403,1029.01,40.0,0.0
1000,maize,55,1.5269,1144.12,0.0,0.0
1000,maize,56,1.6569,1283.86,40.0,0.0
1000,maize,57,1.7329,1384.55,40.0,0.0
1000,maize,58,1.7886,1479.36,10.0,0.0
1000,maize,59,1.8367,1577.85,20.0,0.0
1000,maize,60,1.8817,1684.56,40.0,0.0
1000,maize,61,1.9118,1784.55,30.0,0.0
1000,maize,62,1.9237,1871.43,40.0,0.0
1000,maize,63,1.9402,1975.27,40.0,0.0
1000,maize,64,1.951,2080.85,0.0,0.0
1000,maize,65,1.9458,2171.01,30.0,0.0
1000,maize,66,1.9398,2268.84,0.0,0.0
1000,maize,67,1.9268,2361.84,30.0,0.0
1000,maize,68,1.9161,2466.77,0.0,0.0
1000,maize,69,1.928,2600.07,40.0,0.0
1000,maize,70,1.9102,2705.61,40.0,0.0
1000,maize,71,1.8823,2805.7,30.0,0.0
1000,maize,72,1.8446,2890.33,0.0,0.0
1000,maize,73,1.807,2981.37,40.0,0.0
1000,maize,74,1.7631,3056.65,30.0,0.0
1000,maize,75,1.7224,3143.29,0.0,0.0
1000,maize,76,1.6796,3222.52,20.0,0.0
1000,maize,77,1.6402,3313.41,10.0,0.0
1000,maize,78,1.5976,3389.09,10.0,0.0
1000,maize,79,1.555,3460.76,10.0,0.0
1000,maize,80,1.5147,3535.69,40.0,0.0
1000,maize,81,1.4736,3601.51,20.0,0.0
1000,maize,82,1.4884,3769.87,40.0,0.0
1000,maize,83,1.5305,3994.65,10.0,0.0
1000,maize,84,1.5727,4204.69,0.0,0.0
1000,maize,85,1.6155,4419.83,10.0,0.0
1000,maize,86,1.6026,4606.32,30.0,0.0
1000,maize,87,1.5888,4776.34,20.0,0.0
1000,maize,88,1.5747,4987.26,30.0,0.0
1000,maize,89,1.5607,5169.68,20.0,0.0
1000,maize,90,1.5466,5386.33,10.0,0.0
1000,maize,91,1.5329,5569.42,20.0,0.0
1000,maize,92,1.5194,5732.23,20.0,0.0
1000,maize,93,1.5068,5936.85,0.0,0.0
1000,maize,94,1.4952,6138.66,30.0,0.0
1000,maize,95,1.4847,6331.39,30.0,0.0
1000,maize,96,1.4751,6514.29,10.0,0.0
1000,maize,97,1.4668,6716.42,30.0,0.0
1000,maize,98,1.4551,6918.55,30.0,0.0
1000,maize,99,1.4412,7120.68,10.0,0.0
1000,maize,100,1.425,7322.81,20.0,0.0
1000,maize,101,1.4066,7508.38,20.0,0.0
1000,maize,102,1.3861,7724.2,30.0,0.0
1000,maize,103,1.3638,7929.2,0.0,0.0
1000,maize,104,1.3394,8108.86,10.0,0.0
1000,maize,105,1.3133,8291.58,20.0,0.0
1000,maize,106,1.2858,8503.58,20.0,0.0
1000,maize,107,1.2571,8698.52,10.0,0.0
1000,maize,108,1.227,8864.47,30.0,0.0
1000,maize,109,1.1957,9054.96,30.0,0.0
1000,maize,110,1.1635,9193.06,20.0,0.0
1000,maize,111,1.13,9320.75,20.0,0.0
1000,maize,112,1.0962,9440.05,30.0,0.0
1000,maize,113,1.0624,9553.29,30.0,0.0
1000,maize,114,1.0289,9661.59,0.0,0.0
1000,maize,115,0.9954,9764.97,40.0,0.0
1000,maize,116,0.9615,9889.33,40.0,0.0
1000,maize,117,0.9278,9998.31,0.0,0.0
1000,maize,118,0.894,10099.69,20.0,0.0
1000,maize,119,0.8605,10199.46,0.0,0.0
1000,maize,120,0.8275,10291.66,10.0,0.0
1000,maize,121,0.7954,10388.85,40.0,0.0
1000,maize,122,0.7639,10452.69,30.0,0.0
1000,maize,123,0.734,10536.91,40.0,0.0
1000,maize,124,0.7048,10611.31,0.0,0.0
1000,maize,125,0.6762,10668.56,0.0,0.0
1000,maize,126,0.6489,10728.58,40.0,0.0
1000,maize,127,0.6224,10790.08,40.0,0.0
1000,maize,128,0.5965,10847.31,20.0,0.0
1000,maize,129,0.5714,10902.04,30.0,0.0
1000,maize,130,0.5471,10951.62,40.0,0.0
1000,maize,131,0.5236,11002.47,10.0,0.0
1000,maize,132,0.5009,11050.66,40.0,0.0
1000,maize,133,0.479,11087.39,30.0,0.0
1000,maize,134,0.479,11087.39,20.0,0.0
1000,maize,135,0.479,11087.39,40.0,0.0
1000,maize,136,0.479,11087.39,30.0,0.0
1000,maize,136,0.479,11087.39,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,10.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,40.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,40.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,40.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,10.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,10.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,30.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,40.0,0.0
1500,maize,0,0.0,0.0,20.0,0.0
1500,maize,0,0.0,0.0,10.0,0.0
1500,maize,0,0.0,0.0,40.0,0.0
1500,maize,1,0.0,0.0,40.0,0.0
1500,maize,2,0.0,0.0,0.0,0.0
1500,maize,3,0.0,0.0,30.0,0.0
1500,maize,4,0.0,0.0,20.0,0.0
1500,maize,5,0.0,0.0,20.0,0.0
1500,maize,6,0.0,0.0,30.0,0.0
1500,maize,7,0.0,0.0,10.0,0.0
1500,maize,8,0.0,0.0,40.0,0.0
1500,maize,9,0.0,0.0,0.0,0.0
1500,maize,10,0.0,0.0,0.0,0.0
1500,maize,11,0.0036,28.8,30.0,0.0
1500,maize,12,0.0069,28.8,30.0,0.0
1500,maize,13,0.0095,28.8,0.0,0.0
1500,maize,14,0.0111,28.8,10.0,0.0
1500,maize,15,0.0125,28.8,0.0,0.0
1500,maize,16,0.0157,28.8,10.0,0.0
1500,maize,17,0.019,28.8,0.0,0.0
1500,maize,18,0.0286,28.8,30.0,0.0
1500,maize,19,0.0439,28.8,0.0,0.0
1500,maize,20,0.0578,31.93,30.0,0.0
1500,maize,21,0.0693,36.4,40.0,0.0
1500,maize,22,0.086,43.27,0.0,0.0
1500,maize,23,0.0988,48.77,30.0,0.0
1500,maize,24,0.1133,55.68,40.0,0.0
1500,maize,25,0.135,66.61,40.0,0.0
1500,maize,26,0.1622,81.46,40.0,0.0
1500,maize,27,0.1899,98.29,20.0,0.0
1500,maize,28,0.2238,120.52,30.0,0.0
1500,maize,29,0.2445,137.54,10.0,0.0
1500,maize,30,0.2768,151.25,30.0,0.0
1500,maize,31,0.2863,163.82,30.0,0.0
1500,maize,32,0.2913,174.49,40.0,0.0
1500,maize,33,0.2771,174.56,40.0,0.0
1500,maize,34,0.2633,174.5,30.0,0.0
1500,maize,35,0.2503,174.44,10.0,0.0
1500,maize,36,0.2407,175.81,10.0,0.0
1500,maize,37,0.2374,180.19,30.0,0.0
1500,maize,38,0.2298,184.02,20.0,0.0
1500,maize,39,0.2253,187.33,0.0,0.0
1500,maize,40,0.2259,193.37,20.0,0.0
1500,maize,41,0.229,200.99,20.0,0.0
1500,maize,42,0.32,255.21,40.0,0.0
1500,maize,43,0.4309,325.95,40.0,0.0
1500,maize,44,0.5511,407.66,10.0,0.0
1500,maize,45,0.6878,506.98,20.0,0.0
1500,maize,46,0.7933,587.84,40.0,0.0
1500,maize,47,0.8857,661.89,30.0,0.0
1500,maize,48,1.0106,767.26,30.0,0.0
1500,maize,49,1.1288,872.24,10.0,0.0
1500,maize,50,1.2826,1017.85,0.0,0.0
